brand_id,model_name
68,Breeze
68,Colt
68,Grand voyager
68,Horizon
68,Laser
68,Neon
68,Prowler
68,Reliant
68,Road runner
68,Sundance
68,Volare
68,Voyager
69,356 Speedster
69,911
69,918 Spyder
69,924
69,928
69,935
69,944
69,956
69,968
69,991
69,993
69,996
69,Boxster
69,Cayenne
69,Cayman
69,Macan
69,Panamera
69,Taycan
70,1500
70,2500
70,3500
71,10
71,11
71,12
71,14
71,16
71,18
71,19
71,20
71,21
71,25
71,29
71,30
71,4
71,5
71,8
71,9
71,Alpine
71,Arkana
71,Austral
71,Avantime
71,Bakara
71,Bulgar
71,Captur
71,Caravelle
71,Chamade
71,Clio
71,Duster
71,Espace
71,Express
71,Floride
71,Fluence
71,Fuego
71,Grand espace
71,Grand scenic
71,K-ZE
71,Kadjar
71,Kangoo
71,Koleos
71,Laguna
71,Laguna Coupe
71,Latitude
71,Megane
71,Modus
71,Nevada
71,Rapid
71,Safrane
71,Scenic
71,Scenic rx4
71,Symbol
71,Talisman
71,Twingo
71,Twizy
71,Vel satis
71,Wind
71,Zoe
72,Nevera
73,R1S
73,R1T
74,Cullinan
74,Dawn
74,Ghost
74,Phantom
74,Rieju
74,Silver Cloud
74,Silver Seraph
74,Silver Spur
74,Speter
74,Wraith
75,111
75,114
75,200
75,213
75,214
75,216
75,220
75,25
75,400
75,414
75,416
75,418
75,420
75,45
75,600
75,618
75,620
75,623
75,75
75,800
75,820
75,825
75,827
75,City
75,Estate
75,Maestro
75,Metro
75,Mini
75,Montego
75,Streetwise
76,9-3
76,9-4X
76,9-5
76,9-7x
76,900
76,9000
77,Alhambra
77,Altea
77,Arona
77,Arosa
77,Ateca
77,Cordoba
77,Cupra
77,Exeo
77,Fura
77,Ibiza
77,Inka
77,Leon
77,Malaga
77,Marbella
77,Mii
77,Ronda
77,Tarraco
77,Terra
77,Toledo
77,Vario
78,100
78,1000
78,105
78,120
78,125
78,130
78,135
78,136
78,Citigo
78,Enyaq
78,Fabia
78,Favorit
78,Felicia
78,Forman
78,Kamiq
78,Karoq
78,Kodiaq
78,Octavia
78,Praktik
78,Rapid
78,Roomster
78,Scala
78,Superb
78,Yeti
79,Forfour
79,Fortwo
79,Mc
79,Roadster
79,Smart #1
79,Smart #3
80,Actyon
80,Actyon Sports
80,Korando
80,Korando Sports
80,Kyron
80,Musso
80,Rexton
80,Tivoli
80,Torres
80,XLV
81,1800
81,Ascent
81,B10 Tribeka
81,B9 tribeca
81,BRZ
81,Baja
81,E12
81,Forester
81,G3x justy
81,Impreza
81,Justy
81,Legacy
81,Leone
81,Levorg
81,Libero
81,Outback
81,Solterra
81,Svx
81,Trezia
81,Vivio
81,XT
81,XV
82,Across
82,Alto
82,Baleno
82,Celerio
82,Forenza
82,Grand Vitara
82,Ignis
82,Jimny
82,Kizashi
82,Liana
82,Maruti
82,Reno
82,SX4
82,SX4 S-Cross
82,Samurai
82,Santana
82,Sg
82,Sidekick
82,Sj
82,Splash
82,Swace
82,Swift
82,Vitara
82,Wagon R
82,X-90
82,XL-7
83,Aria
83,Estate
83,Indica
83,Mint
83,Nano
83,Safari
83,Sierra
83,Sumo
83,Telcoline
83,Xenon
84,Cybertruck
84,Model 3
84,Model S
84,Model X
84,Model Y
84,Roadster
84,Roadster Sport
85,4runner
85,Alphard
85,Auris
85,Avalon
85,Avensis
85,Avensis verso
85,Aygo
85,C-HR
85,Camry
85,Carina
85,Celica
85,Corolla
85,Corolla Cross
85,Corolla Matrix
85,Corolla verso
85,Cressida
85,Crown
85,Fj cruiser
85,GR86
85,GT86
85,Harrier
85,Highlander
85,Hilux
85,IQ
85,Land cruiser
85,Matrix
85,Mirai
85,Mr2
85,Paseo
85,Picnic
85,Previa
85,Prius
85,Proace City
85,Proace City Verso
85,Rav4
85,Scion
85,Sequoia
85,Sienna
85,Starlet
85,Suarer
85,Supra
85,Tacoma
85,Tercel
85,Tundra
85,Urban Cruiser
85,Venza
85,Verso
85,Verso S
85,Yaris
85,Yaris Cross
85,Yaris verso
85,bZ4X
86,600
86,601
86,Combi
86,T 1.1
87,1200
87,1300
87,1302
87,1303
87,1500
87,1600
87,Alltrack
87,Amarok
87,Arteon
87,Atlas
87,Beetle
87,Bora
87,CC
87,Caddy
87,Corrado
87,Derby
87,Eos
87,Fox
87,Golf
87,Golf Plus
87,Golf Variant
87,ID.3
87,ID.4
87,ID.5
87,ID.6
87,ID.7
87,ID.Buzz
87,Jetta
87,K 70
87,Karmann-ghia
87,Lupo
87,Multivan
87,New beetle
87,Passat
87,Phaeton
87,Polo
87,Rabbit
87,Santana
87,Scirocco
87,Sharan
87,Sportsvan
87,T-Cross
87,T-Roc
87,Taigo
87,Taro
87,Tiguan
87,Touareg
87,Touran
87,Up
87,Vento
88,142
88,144
88,145
88,164
88,1800 es
88,240
88,244
88,245
88,262 c
88,264
88,340
88,343
88,344
88,345
88,360
88,440
88,460
88,480
88,66
88,740
88,744
88,745
88,760
88,765
88,770
88,780
88,850
88,940
88,960
88,C30
88,C40
88,C70
88,EX30
88,P 1800
88,S40
88,S60
88,S70
88,S80
88,S90
88,V40
88,V40 Cross Country
88,V50
88,V60
88,V60 Cross Country
88,V70
88,V90
88,V90 Cross Country
88,XC40
88,XC60
88,Xc70
88,Xc90
89,22
89,24
89,3102
89,3110
89,3111
89,M 20
89,M 21
89,Siber
89,VS
90,03
90,05
90,Coffee 01
91,ST1
91,TS1
91,TS1 GT
91,TSR
91,TSR-S
91,TSR-GT
91,Aurora
